Region_Code,Region_Name,Year,Model,Forecast_Births
12,Skåne län,2030,exp_smoothing,11628.332897234874
13,Hallands län,2024,exp_smoothing,2967.03068629908
13,Hallands län,2025,exp_smoothing,2892.655233199605
13,Hallands län,2026,exp_smoothing,2833.154870720025
13,Hallands län,2027,exp_smoothing,2785.554580736361
13,Hallands län,2028,exp_smoothing,2747.4743487494297
13,Hallands län,2029,exp_smoothing,2717.0101631598845
13,Hallands län,2030,exp_smoothing,2692.6388146882487
14,Västra Götalands län,2024,exp_smoothing,16732.096559542773
14,Västra Götalands län,2025,exp_smoothing,16144.272359431023
14,Västra Götalands län,2026,exp_smoothing,15674.01299934162
14,Västra Götalands län,2027,exp_smoothing,15297.805511270099
14,Västra Götalands län,2028,exp_smoothing,14996.839520812882
14,Västra Götalands län,2029,exp_smoothing,14756.066728447107
14,Västra Götalands län,2030,exp_smoothing,14563.44849455449
17,Värmlands län,2024,exp_smoothing,2156.120918920621
17,Värmlands län,2025,exp_smoothing,2031.5417857116581
17,Värmlands län,2026,exp_smoothing,1931.878479144488
17,Värmlands län,2027,exp_smoothing,1852.1478338907518
17,Värmlands län,2028,exp_smoothing,1788.363317687763
17,Värmlands län,2029,exp_smoothing,1737.3357047253717
17,Värmlands län,2030,exp_smoothing,1696.5136143554587
18,Örebro län,2024,drift,2798.6272727272726
18,Örebro län,2025,drift,2786.4104545454547
18,Örebro län,2026,drift,2776.026159090909
18,Örebro län,2027,drift,2767.1995079545454
18,Örebro län,2028,drift,2759.6968544886363
18,Örebro län,2029,drift,2753.319599042614
18,Örebro län,2030,drift,2747.8989319134944
19,Västmanlands län,2024,drift,2544.2
19,Västmanlands län,2025,drift,2523.97
19,Västmanlands län,2026,drift,2506.7745
19,Västmanlands län,2027,drift,2492.158325
19,Västmanlands län,2028,drift,2479.73457625
19,Västmanlands län,2029,drift,2469.1743898125
19,Västmanlands län,2030,drift,2460.198231340625
20,Dalarnas län,2024,exp_smoothing,2349.5867492711964
20,Dalarnas län,2025,exp_smoothing,2277.256148228949
20,Dalarnas län,2026,exp_smoothing,2219.391667395151
20,Dalarnas län,2027,exp_smoothing,2173.1000827281127
20,Dalarnas län,2028,exp_smoothing,2136.0668149944822
20,Dalarnas län,2029,exp_smoothing,2106.4402008075776
20,Dalarnas län,2030,exp_smoothing,2082.738909458054
21,Gävleborgs län,2024,drift,2257.2618181818184
21,Gävleborgs län,2025,drift,2237.084363636364
21,Gävleborgs län,2026,drift,2219.933527272727
21,Gävleborgs län,2027,drift,2205.3553163636366
21,Gävleborgs län,2028,drift,2192.9638370909092
21,Gävleborgs län,2029,drift,2182.431079709091
21,Gävleborgs län,2030,drift,2173.4782359345454
22,Västernorrlands län,2024,drift,1923.7781818181818
22,Västernorrlands län,2025,drift,1902.3396363636364
22,Västernorrlands län,2026,drift,1884.1168727272727
22,Västernorrlands län,2027,drift,1868.6275236363635
22,Västernorrlands län,2028,drift,1855.4615769090908
22,Västernorrlands län,2029,drift,1844.270522190909
22,Västernorrlands län,2030,drift,1834.7581256804547
23,Jämtlands län,2024,exp_smoothing,1151.3865118287554
23,Jämtlands län,2025,exp_smoothing,1144.8060910189956
23,Jämtlands län,2026,exp_smoothing,1138.258572313285
23,Jämtlands län,2027,exp_smoothing,1131.7437912011026
23,Jämtlands län,2028,exp_smoothing,1125.261583994481
23,Jämtlands län,2029,exp_smoothing,1118.8117878238927
23,Jämtlands län,2030,exp_smoothing,1112.3942406341573
24,Västerbottens län,2024,exp_smoothing,2368.545057458846
24,Västerbottens län,2025,exp_smoothing,2353.1673863912565
24,Västerbottens län,2026,exp_smoothing,2337.8666036790046
24,Västerbottens län,2027,exp_smoothing,2322.6423248803144
24,Västerbottens län,2028,exp_smoothing,2307.494167475618
24,Västerbottens län,2029,exp_smoothing,2292.4217508579445
24,Västerbottens län,2030,exp_smoothing,2277.4246963233595
