Region_Code,Region_Name,Model,MAE,RMSE,SMAPE,Test_Years,Test_Year_Start,Test_Year_End
12,Skåne län,drift,870.9399999999998,1184.7009463995544,2.882140194199062,5,2019,2023
13,Hallands län,baseline_naive,140.2,202.26764447137856,2.1067927330654332,5,2019,2023
13,Hallands län,drift,164.83999999999997,250.83707859883873,2.4560100043484563,5,2019,2023
13,Hallands län,exp_smoothing,164.84014806412333,250.83738284026848,2.4560120750017673,5,2019,2023
14,Västra Götalands län,exp_smoothing,703.8131084882559,1017.0292706504187,1.8890425669197168,5,2019,2023
14,Västra Götalands län,drift,809.8040000000001,1172.4607031367834,2.1604209291074845,5,2019,2023
14,Västra Götalands län,baseline_naive,817.4,1184.7724676071773,2.1797440065813043,5,2019,2023
17,Värmlands län,drift,261.74000000000007,306.5208710675344,4.930674888921587,5,2019,2023
17,Värmlands län,baseline_naive,306.8,355.58402663786796,5.711793601279696,5,2019,2023
17,Värmlands län,exp_smoothing,320.3975382573638,370.42903471053705,5.9443547924847016,5,2019,2023
18,Örebro län,exp_smoothing,282.839582019703,341.36113184261,4.398988729249923,5,2019,2023
18,Örebro län,drift,282.84,341.36157721688596,4.398994804150331,5,2019,2023
18,Örebro län,baseline_naive,300.6,360.34455733367196,4.656247201214728,5,2019,2023
19,Västmanlands län,drift,99.26000000000003,150.0624869845892,1.7847474442423232,5,2019,2023
19,Västmanlands län,baseline_naive,159.4,216.3668181584228,2.802040499661893,5,2019,2023
19,Västmanlands län,exp_smoothing,169.28420863890523,226.5652704322575,2.966434352325126,5,2019,2023
20,Dalarnas län,drift,268.1,319.5433460424423,4.802513777228761,5,2019,2023
20,Dalarnas län,exp_smoothing,268.10134681827185,319.544811757275,4.802536204977398,5,2019,2023
20,Dalarnas län,baseline_naive,306.8,361.7396854092733,5.44152396766041,5,2019,2023
21,Gävleborgs län,drift,440.06000000000006,482.15346561027644,7.892769230488642,5,2019,2023
21,Gävleborgs län,baseline_naive,482.6,528.8105520883637,8.574836857552626,5,2019,2023
21,Gävleborgs län,exp_smoothing,771.1275538714391,852.2888498770719,12.875059366829442,5,2019,2023
22,Västernorrlands län,exp_smoothing,289.1799946339021,334.31817775316694,6.311588655319319,5,2019,2023
22,Västernorrlands län,drift,289.18,334.3181831728571,6.31158876216362,5,2019,2023
22,Västernorrlands län,baseline_naive,350.2,400.21869021823557,7.508113222234754,5,2019,2023
23,Jämtlands län,drift,131.14000000000001,151.02403914609093,5.055744867220045,5,2019,2023
23,Jämtlands län,exp_smoothing,131.1400124976552,151.02405232242225,5.055745316229954,5,2019,2023
23,Jämtlands län,baseline_naive,142.6,163.28441444302024,5.465268090899163,5,2019,2023
24,Västerbottens län,drift,170.26400000000004,246.34268489240762,3.159532179629675,5,2019,2023
24,Västerbottens län,exp_smoothing,170.26403655996984,246.34274195975965,3.159532813746687,5,2019,2023
24,Västerbottens län,baseline_naive,187.4,273.55474771972064,3.4541304472918934,5,2019,2023
25,Norrbottens län,drift,120.37200000000003,133.68211697904846,2.6783138182408157,5,2019,2023
25,Norrbottens län,exp_smoothing,120.37204686277937,133.68221274316883,2.67831493397523,5,2019,2023
25,Norrbottens län,baseline_naive,161.0,200.032497359804,3.5624478729475455,5,2019,2023
